xray_detection,name,RA,DEC,ExpTime,ExiML_2RXS,DETML_XMMSL,f_2RXS,errf_2RXS,fden_2RXS,errfden_2RXS,f_XMMSL,errf_XMMSL,plate,MJD,fiberID,DR14_RUN2D,DR14_PLUG_RA,DR14_PLUG_DEC,redshift,CLASS_BEST,CONF_BEST,DR14_ZWARNING,DR14_SN_MEDIAN_ALL,norm1_mgII,errnorm1_mgII,peak1_mgII,errpeak1_mgII,width1_mgII,errwidth1_mgII,fwhm1_mgII,errfwhm1_mgII,norm2_mgII,errnorm2_mgII,peak2_mgII,errpeak2_mgII,width2_mgII,errwidth2_mgII,fwhm2_mgII,errfwhm2_mgII,norm3_mgII,errnorm3_mgII,peak3_mgII,errpeak3_mgII,width3_mgII,errwidth3_mgII,fwhm3_mgII,errfwhm3_mgII,norm_heII,errnorm_heII,peak_heII,errpeak_heII,width_heII,errwidth_heII,fwhm_heII,errfwhm_heII,norm1_hb,errnorm1_hb,peak1_hb,errpeak1_hb,width1_hb,errwidth1_hb,fwhm1_hb,errfwhm1_hb,norm2_hb,errnorm2_hb,peak2_hb,errpeak2_hb,width2_hb,errwidth2_hb,fwhm2_hb,errfwhm2_hb,norm3_hb,errnorm3_hb,peak3_hb,errpeak3_hb,width3_hb,errwidth3_hb,fwhm3_hb,errfwhm3_hb,norm4_hb,errnorm4_hb,peak4_hb,errpeak4_hb,width4_hb,errwidth4_hb,fwhm4_hb,errfwhm4_hb,norm1_OIII4959,errnorm1_OIII4959,peak1_OIII4959,errpeak1_OIII4959,width1_OIII4959,errwidth1_OIII4959,fwhm1_OIII4959,errfwhm1_OIII4959,norm2_OIII4959,errnorm2_OIII4959,peak2_OIII4959,errpeak2_OIII4959,width2_OIII4959,errwidth2_OIII4959,fwhm2_OIII4959,errfwhm2_OIII4959,norm1_OIII5007,errnorm1_OIII5007,peak1_OIII5007,errpeak1_OIII5007,width1_OIII5007,errwidth1_OIII5007,fwhm1_OIII5007,errfwhm1_OIII5007,norm2_OIII5007,errnorm2_OIII5007,peak2_OIII5007,errpeak2_OIII5007,width2_OIII5007,errwidth2_OIII5007,fwhm2_OIII5007,errfwhm2_OIII5007,norm_pl1,errnorm_pl1,slope_pl1,errslope_pl1,norm_pl2,errnorm_pl2,slope_pl2,errslope_pl2,norm_gal1,errnorm_gal1,norm_gal2,errnorm_gal2,norm_feII1,errnorm_feII1,norm_feII2,errnorm_feII2,width_feII1,errwidth_feII1,width_feII2,errwidth_feII2,r_feII,OIII_Hbeta_ratio,virialfwhm_mgII,errvirialfwhm_mgII,virialfwhm_hb,errvirialfwhm_hb,mgII_chi,hb_chi,l_2500,errl_2500,l_3000,errl_3000,l_5100,errl_5100,l_bol1,errl_bol1,l_bol2,errl_bol2,logBHMS_mgII,errlogBHMS_mgII,logBHMVP_hb,errlogBHMVP_hb,logBHMMD_hb,errlogBHMMD_hb,logBHMA_hb,errlogBHMA_hb,l_edd1,l_edd2,edd_ratio1,edd_ratio2,broad_Hb_fwhm_vi,narrow_Hb_fwhm_vi,narrow_OIII_A_vi,narrow_Hb_A_vi,Log(OIII/Hb)_vi
2RXS ,2RXS J131703.4-021538  ,199.26434,-2.26066,273.86,161.0,-99.0,8.03526122183e-12,7.75227508221e-13,2.81190083035e-30,2.71287119845e-31,-99.0,-99.0,4053,55591,38,v5_10_0,199.26423,-2.2613246,0.019339599,QSO   ,3,0,56.210777,,,,,,,,,,,,,,,,,,,,,,,,,8.338271,0.57148876,4687.3701,0.20680268,2.7068005,0.2070269,26.125607,31.17999,34.60116,0.85879537,4863.0548,0.016043472,1.8879475,0.019196146,93.689025,2.7866557,12.468467,0.62848812,4858.2829,0.44450517,16.661078,0.75797975,2052.9031,110.14223,6.9923122,0.62731854,4861.5935,1.3741998,46.305413,2.3663361,6356.1915,343.62295,1.110223e-16,0.0,4861.3993,0.0,27.695636,0.0,3653.9914,0.0,96.041877,1.2027943,4960.2878,0.016043472,1.8879475,0.019196146,91.852505,2.7320309,13.680154,0.89852848,4961.2153,0.091431093,4.616907,0.120407,296.48261,17.133343,288.12563,3.608383,5008.6188,0.016043472,1.8879475,0.019196146,90.966168,2.705668,41.040463,2.6955855,5009.5463,0.091431093,4.616907,0.120407,293.62221,16.968044,,,,,0.00027510137,0.00020308626,1.2352595,0.082949576,,,50.017767,0.62465897,,,1.0924888,0.10298819,,,110.0,0.0,0.34659427,1.228858,,,3200.6114,288.52849,,2.1178569,,,,,1.0180043e+38,1.7460703e+36,,,4.8076271e+42,8.2459916e+40,,,6.7781258,0.082026161,6.2888109,0.08284555,6.7174322,0.082175141,,7.7995432e+44,,0.0061639855,5560.150730893442,332.309340740855,44.59524862120049,4.255520057658528,1.020335947656935
2RXS ,2RXS J130358.4+534748  ,195.99369,53.79679,505.87,273.0,-99.0,8.72971368386e-13,3.04634605132e-13,3.31894457548e-31,1.04621374686e-31,-99.0,-99.0,6760,56425,390,v5_10_0,195.99791,53.79165,0.03012986,QSO   ,3,0,46.680435,,,,,,,,,,,,,,,,,,,,,,,,,15.842758,1.1371269,4686.8996,0.21444454,2.7074076,0.21397679,26.219678,32.229936,71.012173,1.9457969,4862.8514,0.020795663,2.1411896,0.026136563,56.928882,3.794337,39.55494,0.61941314,4864.8476,0.42680066,31.202659,0.55782289,4160.3193,80.94871,9.9691969,0.0,4883.3811,0.0,0.0,0.0,0.0,0.0,12.381616,0.518893,4900.0,0.0,101.7263,3.3305684,14291.02,479.84471,140.09814,1.9940953,4960.0844,0.020795663,2.1411896,0.026136563,55.8129,3.7199562,24.208857,1.6758477,4958.8257,0.12023941,5.2522508,0.15617368,387.07543,22.233481,420.29441,5.9822859,5008.4154,0.020795663,2.1411896,0.026136563,55.274308,3.6840588,72.626572,5.0275431,5007.1567,0.12023941,5.2522508,0.15617368,383.33923,22.018875,,,,,17887.958,4678.6719,-0.69440812,0.032058002,,,36.290199,1.352609,,,3.0824285,0.22277465,,,85.682575,0.35050174,0.21435131,0.48431284,,,5414.5218,364.81584,,2.1884848,,,,,1.0952343e+39,8.3744219e+36,,,5.1723535e+43,3.9549046e+41,,,7.7506588,0.060183666,7.3748373,0.060548946,7.7106004,0.06025008,,7.3215359e+45,,0.0070645744,5708.256854690799,376.43605910204246,44.28649534312697,5.636281435539812,0.8952786427731497
2RXS ,2RXS J160519.8+520726  ,241.33253,52.12398,547.68,95.0,-99.0,8.66961875756e-13,2.70665410064e-13,3.24339617345e-31,9.25297661195e-32,-99.0,-99.0,6716,56401,946,v5_10_0,241.3253899999,52.120167,0.0462119,QSO   ,3,0,33.17633,,,,,,,,,,,,,,,,,,,,,,,,,2.7488892,0.2247402,4687.2373,3.2042247,31.964189,3.8475911,4432.6595,579.50386,22.511864,1.0974726,4863.2406,0.020168496,1.7324729,0.02526386,116.25443,3.6673502,12.194167,2.8100397,4867.4136,0.65934307,16.93439,1.7985154,2088.6926,260.85226,2.0503139,0.39026884,4830.0,0.0,146.52839,16.812509,21046.451,2457.3319,8.0853019,2.7036325,4866.4142,1.5206814,33.648124,5.2486924,4513.7369,761.41464,76.721523,1.3052183,4960.4736,0.020168496,1.7324729,0.02526386,113.97566,3.5954644,6.6419516,0.9374573,4959.6067,0.19123704,4.4008267,0.27332934,265.82159,38.906078,230.16457,3.915655,5008.8046,0.020168496,1.7324729,0.02526386,112.87588,3.560771,19.925855,2.8123719,5007.9377,0.19123704,4.4008267,0.27332934,263.25618,38.530601,,,,,1659.9072,1427.6029,-0.58875961,0.1037196,,,26.452176,0.75418614,,,1.400355,0.12587443,,,72.819217,0.84566073,0.31414899,0.59525111,,,3367.1172,290.7625,,1.3175368,,,,,6.6302377e+38,1.1759625e+37,,,3.1311961e+43,5.5536008e+41,,,7.2290661,0.078857304,6.829267,0.079704614,7.1846481,0.07901136,,2.2029746e+45,,0.014213492,4060.5762274449394,279.77343528491605,49.313655937243546,3.798728362605559,1.1133289613847106
2RXS ,2RXS J162145.2+542724  ,245.43861,54.4568,754.15,315.0,-99.0,1.40928879842e-12,2.27527723005e-13,4.98884487453e-31,7.92115599444e-32,-99.0,-99.0,7563,56810,156,v5_10_0,245.43789,54.456574,0.0505047,QSO   ,3,0,41.398827,,,,,,,,,,,,,,,,,,,,,,,,,21.116951,1.1565035,4687.4403,0.19982747,3.3977063,0.19930193,130.17988,30.016095,106.7553,2.3536457,4863.4958,0.020885542,2.3313538,0.024431394,29.318197,3.5463218,14.125218,0.57715202,4900.0,0.0,89.009099,2.732952,12458.816,393.74437,45.619358,0.65608198,4853.6066,0.49151396,34.597203,0.49453332,4663.6913,71.931444,1.110223e-16,0.0,4861.0478,0.0,27.769546,0.0,3664.9893,0.0,263.98546,3.6325948,4960.7288,0.020885542,2.3313538,0.024431394,28.743544,3.4768119,38.903546,3.0198762,4958.9816,0.13494762,4.8171337,0.11902717,325.12029,16.944631,791.95638,10.897784,5009.0598,0.020885542,2.3313538,0.024431394,28.466206,3.4432652,116.71064,9.0596285,5007.3126,0.13494762,4.8171337,0.11902717,321.98221,16.78108,,,,,8868.5558,2568.7915,-0.62375777,0.035695502,,,35.686275,1.3632688,,,2.8254701,0.1673207,,,14.930464,2.008227,0.17420094,0.78086906,,,5889.3717,364.89983,,1.6914676,,,,,2.8864457e+39,2.7315099e+37,,,1.3631529e+44,1.2899829e+42,,,8.0341047,0.055871975,7.7045774,0.056324057,8.0024634,0.055954172,,1.4062032e+46,,0.009693854,5844.020801505046,397.79564730409334,86.14258190961567,9.088885370224826,0.9767072584188601
2RXS ,2RXS J135152.1+212216  ,207.9674,21.37132,414.34,155.0,-99.0,1e-14,1e-14,1e-33,1e-33,-99.0,-99.0,5869,56064,340,v5_10_0,207.96468,21.369897,0.06082327,QSO   ,3,0,40.27715,,,,,,,,,,,,,,,,,,,,,,,,,11.065244,0.91731559,4688.4444,0.26735324,2.898437,0.26569432,54.975073,40.006627,59.968201,1.9053427,4864.0313,0.023911352,2.6173693,0.029735862,12.196838,4.3158127,2.501346,0.0,4861.5099,0.0,0.0,0.0,0.0,0.0,4.3083438,0.59246357,4854.4292,1.9945434,7.1710352,1.8074269,674.43964,262.84592,3.0954222,0.19931068,4890.91,7.3704722,91.470557,8.3185231,12837.26,1200.8571,129.44078,1.9062836,4961.2643,0.023911352,2.6173693,0.029735862,11.957799,4.2312296,16.514095,1.8475596,4959.2129,0.23216336,5.296382,0.18943786,393.32741,26.966995,388.32235,5.7188509,5009.5953,0.023911352,2.6173693,0.029735862,11.842434,4.190408,49.542285,5.5426788,5007.544,0.23216336,5.296382,0.18943786,389.53115,26.706719,,,,,27.83598,14.363457,-0.043531489,0.061403452,,,53.550047,1.0365045,,,0.656683,0.15270067,,,30.928237,8.4586596,0.40436624,2.7150544,,,13289.629,482.56284,,1.6150834,,,,,1.9188057e+39,3.1907625e+37,,,9.0617522e+43,1.5068695e+42,,,8.6523264,0.035150533,8.3032924,0.035944937,8.6171384,0.035294969,,5.8380755e+46,,0.0015521814,10669.81200190315,421.3551387781276,56.01144445334168,6.356642717025152,0.9450489705761894
2RXS ,2RXS J212401.6-002150  ,321.007,-0.36393,441.57,78.0,-99.0,1.41253754462e-12,5.64432095487e-13,5.4954087385e-31,1.93478264036e-31,-99.0,-99.0,4193,55476,354,v5_10_0,321.0079,-0.36632043,0.062,BLAGN ,3,0,50.287678,,,,,,,,,,,,,,,,,,,,,,,,,6.8371776,0.59077202,4685.7652,0.21023201,2.166168,0.20911546,55.317119,31.505331,40.200023,0.87953188,4862.411,0.029418869,1.7960093,0.034635136,107.04963,5.0285602,7.84613,0.25770895,4852.6049,1.8573644,22.991071,1.5486192,2976.1931,225.29611,2.4156434,0.531247,4895.0594,2.9558271,12.585372,2.5741637,1449.6883,371.24262,1.8378443,0.18069655,4830.0,0.0,131.27301,10.59033,18816.711,1547.8925,38.08655,1.8508631,4959.644,0.029418869,1.7960093,0.034635136,104.95094,4.9299761,20.958331,1.7508822,4958.5882,0.092829429,3.0236647,0.066128696,69.808782,9.4147837,114.25965,5.5525893,5007.975,0.029418869,1.7960093,0.034635136,103.93807,4.8823979,62.874992,5.2526466,5006.9192,0.092829429,3.0236647,0.066128696,69.134929,9.3239043,,,,,577.46378,168.80726,-0.38383971,0.035233514,,,30.133798,0.68886754,,,2.584686,0.10393171,,,77.872383,0.2024837,0.95846319,0.75438831,,,4865.6694,344.28324,,2.103874,,,,,2.3685223e+39,1.9225194e+37,,,1.1185584e+44,9.0792905e+41,,,7.825309,0.063222008,7.4863342,0.063609776,7.79195,0.063292511,,8.6946558e+45,,0.012864895,7158.462650206868,344.5530661646323,27.600245426339708,4.931054617013429,0.7479731310459997
2RXS ,2RXS J170320.4+373731  ,255.83513,37.62539,932.83,241.0,-99.0,3.65594791612e-12,3.5271926014e-13,1.27643880879e-30,1.23148513759e-31,-99.0,-99.0,4983,55836,260,v5_10_0,255.8340399999,37.623555,0.0645759,QSO   ,3,0,49.895233,,,,,,,,,,,,,,,,,,,,,,,,,11.381809,0.76437546,4687.445,0.21669191,2.9383515,0.21912365,60.998157,33.001334,58.595643,1.2303804,4862.9103,0.016927658,2.4004158,0.020764317,19.295874,3.0143927,37.498049,0.44723377,4857.9335,0.6463452,32.418241,0.41459885,4342.8894,60.252479,2.2880165,0.75895401,4900.0,0.0,56.795369,20.022092,7817.6897,2884.6412,5.5473541,0.69594943,4846.9971,10.766102,174.22314,18.475009,25006.343,2691.4284,136.30362,1.2831661,4960.1433,0.016927658,2.4004158,0.020764317,18.91762,2.9553019,30.952229,0.81503753,4960.2282,0.061765801,7.261057,0.10593316,672.86643,15.076786,408.91086,3.8494982,5008.4743,0.016927658,2.4004158,0.020764317,18.735068,2.9267837,92.856688,2.4451126,5008.5592,0.061765801,7.261057,0.10593316,666.37348,14.9313,,,,,1.8948763,1.1738848,0.28211072,0.073086277,,,49.087088,1.0374563,,,3.7635835,0.30285678,,,110.0,0.0,0.27561748,0.67701679,,,5322.0186,344.42938,,2.0536902,,,,,2.7216665e+39,3.0650048e+37,,,1.2853342e+44,1.4474792e+42,,,7.9333553,0.058658705,7.6010199,0.059196695,7.9012034,0.058756521,,1.1150612e+46,,0.011527029,5695.91467770769,513.0693713964537,46.74778249426795,4.749816465317084,0.9930841860611705
2RXS ,2RXS J140234.5+215954  ,210.64393,21.99855,449.24,130.0,-99.0,5.6493697481e-12,5.59320594175e-13,1.97696964008e-30,1.90734464704e-31,-99.0,-99.0,5870,56065,802,v5_10_0,210.64354,21.997667,0.066,QSO   ,3,0,41.951607,,,,,,,,,,,,,,,,,,,,,,,,,20.147087,0.5624307,4688.5354,0.50085155,16.541541,0.52055779,2109.2293,78.38121,98.882851,4.6379127,4864.407,0.035290977,2.2690402,0.042631595,38.356093,6.1869999,113.26124,3.3310882,4865.9481,0.1349966,8.9678769,0.24788813,933.53091,35.963902,29.682026,0.0,4887.4546,0.0,0.0,0.0,0.0,0.0,58.453869,3.2866264,4863.6748,0.30390546,21.82363,0.50869463,2799.9663,73.836699,105.31903,2.2813511,4961.64,0.035290977,2.2690402,0.042631595,37.604431,6.0657536,42.202011,2.0398326,4959.3669,0.12268169,5.0821713,0.087474907,362.82267,12.451905,315.95708,6.8440533,5009.971,0.035290977,2.2690402,0.042631595,37.241662,6.0072375,126.60603,6.1194978,5007.6979,0.12268169,5.0821713,0.087474907,359.32094,12.331727,,,,,619430.67,190639.81,-1.0917367,0.038167726,,,23.760554,1.5385555,,,14.715435,0.14666706,,,22.489197,0.46323506,1.1196999,0.54073422,,,1658.8911,195.79519,,2.3001238,,,,,7.0028003e+39,5.0171577e+37,,,3.3071426e+44,2.369403e+42,,,7.1260567,0.10407358,6.8388693,0.10441585,7.1021135,0.10413581,,1.7378012e+45,,0.19030615,1832.8132819925963,479.06280621063854,33.78383967836468,8.265627027256905,0.6114332029039138
2RXS ,2RXS J150906.2+611644  ,227.27605,61.2791,879.25,164.0,-99.0,7.58577575027e-13,2.27701910601e-13,2.82487997488e-31,7.80906455288e-32,-99.0,-99.0,6982,56444,996,v5_10_0,227.27624,61.277814,0.07359623,QSO   ,3,0,27.376017,,,,,,,,,,,,,,,,,,,,,,,,,2.4531778,0.48317107,4685.9258,0.91649281,4.12284,0.93718767,239.46683,141.19185,11.842419,0.78716667,4862.2431,0.066846552,3.3345831,0.12052319,116.3348,17.498966,4.2099626,42.863347,4857.8571,32.435973,24.828384,27.872943,3239.9787,4050.6313,2.1844417,0.88444869,4873.3143,0.82047001,1.8849864,0.92276357,93.920729,133.67323,6.6833406,38.866555,4873.6372,83.738396,29.011978,10.707126,3835.4912,1552.3507,26.380992,2.089006,4959.4761,0.066846552,3.3345831,0.12052319,114.054,17.15589,5.3284619,2.1465936,4958.6345,0.39637908,5.9884979,0.66239518,491.90934,94.304742,79.142976,6.2670181,5007.8071,0.066846552,3.3345831,0.12052319,112.95325,16.990317,15.985386,6.4397807,5006.9655,0.39637908,5.9884979,0.66239518,487.16106,93.394441,,,,,4.9539499,2.8097499,0.096614734,0.068476151,,,18.734081,0.78300416,,,2.2967754,0.086848939,,,71.99697,0.44901277,1.3372772,1.051477,,,4150.3111,271.60512,,0.81280503,,,,,1.7991993e+39,3.1793296e+37,,,8.4968989e+43,1.5014702e+42,,,7.6274861,0.060679591,7.2753775,0.06152377,7.591739,0.060833078,,5.5135259e+45,,0.015411007,5103.490182518154,544.9607677347391,26.535518489574528,2.535055984960175,1.0198400230570008
2RXS ,2RXS J221225.2-014205  ,333.10524,-1.7014,297.21,81.0,-99.0,1.85353162341e-12,7.52621926581e-13,7.1779429126e-31,2.61695694133e-31,-99.0,-99.0,4378,55853,592,v5_10_0,333.10442,-1.7020233,0.09588864,QSO   ,3,0,36.49055,,,,,,,,,,,,,,,,,,,,,,,,,6.0998647,0.1550189,4679.4532,1.1895249,39.470544,1.3332239,5572.466,201.13941,15.732587,0.7383044,4862.5912,0.050238305,3.0094976,0.066205843,69.130149,9.61185,24.703482,0.37630022,4863.2463,0.19541023,17.198006,0.26007391,2128.7494,37.752878,5.7403426,0.0,4873.0265,0.0,0.0,0.0,0.0,0.0,4.153091,0.17424369,4882.9533,3.9947461,100.81531,5.1545971,14209.204,745.32108,31.184407,1.1567029,4959.8242,0.050238305,3.0094976,0.066205843,67.774913,9.4234181,9.8780635,1.1768999,4957.6433,0.25861776,5.5371505,0.18647785,427.73684,26.554037,93.553221,3.4701088,5008.1552,0.050238305,3.0094976,0.066205843,67.120854,9.3324778,29.634191,3.5306996,5005.9743,0.25861776,5.5371505,0.18647785,423.60718,26.297667,,,,,2213.0637,759.31816,-0.55625465,0.042039396,,,22.462409,0.65178073,,,1.8589417,0.088755779,,,38.718636,1.1367935,0.3851749,0.50021487,,,2793.5973,250.28489,,1.6889742,,,,,5.0711958e+39,5.6164972e+37,,,2.394923e+44,2.652447e+42,,,7.5086679,0.080224053,7.2060627,0.080753148,7.4819215,0.080320252,,4.1938341e+45,,0.057105811,2980.635741422344,520.4424972747493,21.785842428026005,2.56713358262565,0.9287258900737275
2RXS ,2RXS J235129.4+155304  ,357.87284,15.88472,418.41,93.0,-99.0,1e-14,1e-14,1e-33,1e-33,-99.0,-99.0,6139,56192,440,v5_10_0,357.86991,15.883106,0.096,BLAGN ,3,64,28.24353,,,,,,,,,,,,,,,,,,,,,,,,,6.7081162,0.6522367,4688.5922,0.32281679,3.0060039,0.32513554,71.169601,48.955378,28.436536,0.91992393,4865.1225,0.055021342,2.6711464,0.064698313,19.99747,9.3880977,7.0875455,0.49898136,4876.3225,2.6119634,29.031824,2.6039959,3836.2522,376.99255,4.3001706,0.61321733,4830.0,0.0,33.843573,3.5148222,4576.3338,513.72968,3.5796768,0.44099543,4900.0,0.0,81.770731,6.9532539,11415.963,1001.7756,55.943683,2.8503662,4962.3555,0.055021342,2.6711464,0.064698313,19.605637,9.2041462,31.840175,2.8073044,4960.8471,0.11933469,4.558692,0.098757929,288.22027,14.053827,167.83105,8.5510986,5010.6865,0.055021342,2.6711464,0.064698313,19.416529,9.1153668,95.520525,8.4219133,5009.1781,0.11933469,4.558692,0.098757929,285.43938,13.918229,,,,,3591.4159,2252.5596,-0.66910759,0.077493429,,,28.270254,0.79226095,,,0.41548933,0.092779087,,,9.7053691,7.8298853,0.11240742,1.2274808,,,6592.3962,383.6088,,1.6720004,,,,,3.1970518e+39,6.8717316e+37,,,1.5098397e+44,3.2452441e+42,,,8.1542465,0.055210305,7.8296017,0.056237126,8.1234929,0.055397,,1.8543423e+46,,0.0081421846,8152.00789734765,507.60774539958703,51.98747431803157,4.794921358346043,1.0351172301424432
2RXS ,2RXS J073735.8+430856  ,114.39953,43.14912,466.73,129.0,-99.0,1.96336027683e-12,5.54316650921e-13,7.21107479172e-31,1.9090336017e-31,-99.0,-99.0,6374,56326,365,v5_10_0,114.3983099999,43.147544,0.1164918,QSO   ,3,0,35.909492,,,,,,,,,,,,,,,,,,,,,,,,,4.5940983,0.26973311,4681.8085,1.9181899,34.193072,2.4299409,4773.8867,366.40946,17.359407,1.1924123,4863.4285,0.026821536,2.5637187,0.036848597,4.4106224,5.348806,11.678886,0.77516855,4859.5389,0.48094242,9.0417393,0.56570017,945.4923,82.180723,14.898248,0.53584386,4867.1184,0.90006627,37.677589,1.4675321,5097.5427,212.86212,4.2568102,0.53900281,4873.606,8.2205826,116.11879,9.9729455,16453.213,1444.8793,64.411255,1.100792,4960.6615,0.026821536,2.5637187,0.036848597,4.3241706,5.243965,9.3769075,1.0343698,4959.1994,0.22671254,6.138411,0.3144402,513.1939,44.761536,193.23377,3.302376,5008.9925,0.026821536,2.5637187,0.036848597,4.2824473,5.1933668,28.130723,3.1031094,5007.5304,0.22671254,6.138411,0.3144402,508.24073,44.329513,,,,,11699413.0,8518191.7,-1.5389242,0.088330283,,,20.280555,0.95852181,,,0.68335814,0.18149839,,,90.982837,2.8235569,0.10236112,0.55409267,,,3675.4613,424.37488,,1.4132149,,,,,9.5319445e+39,1.0453467e+38,,,4.5015562e+44,4.9367547e+42,,,7.8839996,0.10267035,7.6115422,0.10319426,7.8627346,0.10276561,,9.9527461e+45,,0.045229288,5646.545969775258,441.7570981148144,35.30809379996438,3.5927224249786613,0.9924506069159381
2RXS ,2RXS J115346.1+561942  ,178.4423,56.32847,455.27,98.0,-99.0,4.44631267468e-12,3.95411001148e-13,1.55238700993e-30,1.34166015428e-31,-99.0,-99.0,6839,56425,760,v5_10_0,178.44231,56.326548,0.129,QSO   ,3,0,28.730755,,,,,,,,,,,,,,,,,,,,,,,,,6.7544592,0.20484437,4687.051,0.63370085,19.292609,0.65520988,2524.2594,98.687418,75.639031,2.841583,4863.4355,0.019728902,1.4099898,0.021792627,163.06016,3.1633326,16.982325,2.225228,4860.3653,0.4298258,3.6876165,0.37048346,167.65707,53.811904,28.22723,1.6070369,4863.1413,0.22340973,9.7276563,0.36387613,1044.363,52.822053,5.5716344,0.55667784,4864.6798,1.1644559,31.958588,1.8590303,4270.1625,269.78248,67.243139,1.1539382,4960.6685,0.019728902,1.4099898,0.021792627,159.86405,3.1013288,24.762059,0.69775392,4958.6858,0.062705619,3.7250004,0.044382535,169.65504,6.3186451,201.72942,3.4618145,5008.9995,0.019728902,1.4099898,0.021792627,158.32155,3.0714046,74.286178,2.0932618,5007.0168,0.062705619,3.7250004,0.044382535,168.01742,6.2576534,,,,,609893.27,232522.23,-1.2186578,0.047103109,,,4.77167,0.58641803,,,1.3660578,0.058875805,,,13.797306,1.7314094,0.52749585,0.90228182,,,1591.0554,184.30506,,1.7157653,,,,,9.6531307e+39,9.5701387e+37,,,4.5587876e+44,4.5195938e+42,,,7.1594898,0.10276885,6.887636,0.10324246,7.1383345,0.10285496,,1.8768655e+45,,0.24289367,1635.338450262751,325.68793160649517,70.27068258292621,20.638995340096507,0.5320856191401587
2RXS ,2RXS J021355.2-055123  ,33.48035,-5.85642,367.59,109.0,-99.0,2.15774440915e-12,4.72523582741e-13,7.76247116617e-31,1.63476193933e-31,-99.0,-99.0,7237,56662,291,v5_10_0,33.47976799999,-5.855919,0.1403775,QSO   ,3,0,31.551794,,,,,,,,,,,,,,,,,,,,,,,,,4.9418582,0.20704897,4684.0512,1.1747568,25.660028,1.3031809,3485.5422,196.41099,9.6208291,1.6274092,4862.5878,0.047954202,2.1897086,0.059860237,49.887925,8.6905929,17.702363,0.66077873,4867.9411,0.4820091,20.776742,0.53767867,2645.6908,77.975537,15.050632,1.152051,4861.1663,0.29282437,6.2661349,0.43784202,542.09182,63.585113,2.9734124,0.16304636,4900.0,0.0,151.63424,9.5924723,21481.403,1382.0155,29.562617,0.85304987,4959.8208,0.047954202,2.1897086,0.059860237,48.909915,8.5202214,20.01219,0.8011029,4957.3932,0.11175098,5.1654819,0.084465328,374.83096,12.028283,88.687852,2.5591496,5008.1518,0.047954202,2.1897086,0.059860237,48.437912,8.4379973,60.036571,2.4033087,5005.7242,0.11175098,5.1654819,0.084465328,371.21191,11.912148,,,,,43015.484,27859.659,-0.95061843,0.080377565,,,20.588073,0.77264744,,,2.2375648,0.085392788,,,25.545137,1.7375987,0.47665878,0.54014156,,,3379.451,277.39445,,1.2968121,,,,,9.2536331e+39,1.4304426e+38,,,4.3701209e+44,6.7554083e+42,,,7.8046336,0.074652985,7.5307606,0.07539146,7.7831112,0.074787253,,8.2904271e+45,,0.052712855,3245.992546559341,492.37925620474533,29.973836056527464,4.752796064667202,0.7997931478113306
2RXS ,2RXS J095932.6+504458  ,149.88609,50.74969,471.87,128.0,-99.0,1.38995263121e-12,2.46863890214e-13,4.9431068698e-31,8.6453730533e-32,-99.0,-99.0,7282,56660,707,v5_10_0,149.88197,50.746961,0.143,QSO   ,3,0,53.956326,,,,,,,,,,,,,,,,,,,,,,,,,8.1438196,0.19007434,4688.2244,1.0536915,37.231117,1.1305447,5224.8252,170.24255,11.944227,3.4857272,4863.5465,0.043693834,2.4929404,0.042208222,5.8631463,6.1266407,72.374785,1.9345095,4865.9261,0.1297589,15.732078,0.26535845,1914.8976,38.498714,36.199772,2.6182557,4862.9829,0.18107645,5.7875263,0.39851969,472.40989,57.852947,10.582257,0.62565872,4856.1037,1.3526705,50.160169,1.7990482,6923.7631,261.54419,16.452122,0.28363806,4960.7795,0.043693834,2.4929404,0.042208222,5.7482266,6.0065564,1.8761428,0.0,4960.1967,0.0,0.0,0.0,0.0,0.0,49.356367,0.85091417,5009.1105,0.043693834,2.4929404,0.042208222,5.6927642,5.9486014,5.6284283,0.0,5008.5277,0.0,0.0,0.0,0.0,0.0,,,,,31147001000.0,0.0,-2.41017,0.00074657357,,,7.6635556,0.23698192,,,9.7056371,0.084920461,,,24.982506,0.30882026,1.0137211,0.064464417,,,2497.5869,224.33089,,3.3277989,,,,,2.6063969e+40,1.362341e+38,,,1.230897e+45,6.4337919e+42,,,7.7668466,0.079151019,7.5424438,0.079400721,7.7543188,0.079196419,,7.5995867e+45,,0.16196894,2085.827910146485,399.3635695677365,5.991827630703493,3.438873228552695,0.24114314516725951
